label_combination,best_model,n_samples,samples_a_c_b,samples_a_pu_b,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_a_c_b,recall_a_c_b,f1_a_c_b,precision_a_pu_b,recall_a_pu_b,f1_a_pu_b,samples_b_m_b,precision_b_m_b,recall_b_m_b,f1_b_m_b,samples_i_sg_b,precision_i_sg_b,recall_i_sg_b,f1_i_sg_b,samples_m_et_s,precision_m_et_s,recall_m_et_s,f1_m_et_s,samples_m_gp_s,precision_m_gp_s,recall_m_gp_s,f1_m_gp_s,samples_n_3_s,precision_n_3_s,recall_n_3_s,f1_n_3_s,samples_o_sq_s,precision_o_sq_s,recall_o_sq_s,f1_o_sq_s,samples_p_af_b,precision_p_af_b,recall_p_af_b,f1_p_af_b,samples_p_af_s,precision_p_af_s,recall_p_af_s,f1_p_af_s,samples_p_sf_b,precision_p_sf_b,recall_p_sf_b,f1_p_sf_b,samples_p_sf_s,precision_p_sf_s,recall_p_sf_s,f1_p_sf_s
n_3_s_p_af_b,SVM,48,,,0.6875,0.6878260869565218,0.6875,0.6873643074250977,0.6878260869565217,0.6875,0.6873643074250978,,,,,,,,,,,,,,,,,,,,,,,24.0,0.6956521739130435,0.6666666666666666,0.6808510638297872,,,,,24.0,0.68,0.7083333333333334,0.6938775510204082,,,,,,,,,,,,
n_3_s_p_af_s,RandomForest,48,,,0.875,0.875,0.875,0.875,0.875,0.875,0.875,,,,,,,,,,,,,,,,,,,,,,,24.0,0.875,0.875,0.875,,,,,,,,,24.0,0.875,0.875,0.875,,,,,,,,
n_3_s_p_sf_b,SVM,48,,,0.7708333333333334,0.771304347826087,0.7708333333333333,0.7707338254450716,0.7713043478260871,0.7708333333333334,0.7707338254450716,,,,,,,,,,,,,,,,,,,,,,,24.0,0.782608695652174,0.75,0.7659574468085106,,,,,,,,,,,,,24.0,0.76,0.7916666666666666,0.7755102040816326,,,,
n_3_s_p_sf_s,RandomForest,48,,,0.5416666666666666,0.5419580419580419,0.5416666666666667,0.5408695652173914,0.541958041958042,0.5416666666666666,0.5408695652173913,,,,,,,,,,,,,,,,,,,,,,,24.0,0.5454545454545454,0.5,0.5217391304347826,,,,,,,,,,,,,,,,,24.0,0.5384615384615384,0.5833333333333334,0.56
o_sq_s_p_af_b,RandomForest,48,,,0.5833333333333334,0.583916083916084,0.5833333333333333,0.5826086956521739,0.5839160839160839,0.5833333333333334,0.5826086956521739,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.5769230769230769,0.625,0.6,24.0,0.5909090909090909,0.5416666666666666,0.5652173913043478,,,,,,,,,,,,
o_sq_s_p_af_s,SVM,48,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.75,0.75,0.75,,,,,24.0,0.75,0.75,0.75,,,,,,,,
o_sq_s_p_sf_b,SVM,48,,,0.7708333333333334,0.7751322751322751,0.7708333333333334,0.7699346405228757,0.7751322751322752,0.7708333333333334,0.7699346405228757,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.7407407407407407,0.8333333333333334,0.7843137254901961,,,,,,,,,24.0,0.8095238095238095,0.7083333333333334,0.7555555555555555,,,,
o_sq_s_p_sf_s,SVM,48,,,0.6666666666666666,0.6714285714285715,0.6666666666666667,0.6643356643356644,0.6714285714285714,0.6666666666666666,0.6643356643356643,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.6428571428571429,0.75,0.6923076923076923,,,,,,,,,,,,,24.0,0.7,0.5833333333333334,0.6363636363636364
p_af_b_p_af_s,SVM,48,,,0.75,0.7666666666666666,0.75,0.746031746031746,0.7666666666666666,0.75,0.746031746031746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.7,0.875,0.7777777777777778,24.0,0.8333333333333334,0.625,0.7142857142857143,,,,,,,,
p_af_b_p_sf_b,RandomForest,48,,,0.7083333333333334,0.7142857142857143,0.7083333333333333,0.7062937062937062,0.7142857142857143,0.7083333333333334,0.7062937062937062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.75,0.625,0.6818181818181818,,,,,24.0,0.6785714285714286,0.7916666666666666,0.7307692307692307,,,,
p_af_b_p_sf_s,SVM,48,,,0.6666666666666666,0.6678321678321678,0.6666666666666667,0.6660869565217391,0.6678321678321678,0.6666666666666666,0.6660869565217391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.6538461538461539,0.7083333333333334,0.68,,,,,,,,,24.0,0.6818181818181818,0.625,0.6521739130434783
p_af_s_p_sf_b,RandomForest,48,,,0.7291666666666666,0.7328042328042328,0.7291666666666666,0.7281045751633988,0.7328042328042329,0.7291666666666666,0.7281045751633988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.7037037037037037,0.7916666666666666,0.7450980392156863,24.0,0.7619047619047619,0.6666666666666666,0.7111111111111111,,,,
p_af_s_p_sf_s,RandomForest,48,,,0.7708333333333334,0.771304347826087,0.7708333333333333,0.7707338254450716,0.7713043478260871,0.7708333333333334,0.7707338254450716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.782608695652174,0.75,0.7659574468085106,,,,,24.0,0.76,0.7916666666666666,0.7755102040816326
p_sf_b_p_sf_s,SVM,48,,,0.625,0.6285714285714286,0.625,0.6223776223776224,0.6285714285714286,0.625,0.6223776223776224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.6071428571428571,0.7083333333333334,0.6538461538461539,24.0,0.65,0.5416666666666666,0.5909090909090909
