label_combination,best_model,n_samples,samples_m_et_s,samples_p_af_b,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_m_et_s,recall_m_et_s,f1_m_et_s,precision_p_af_b,recall_p_af_b,f1_p_af_b,samples_p_af_s,precision_p_af_s,recall_p_af_s,f1_p_af_s,samples_p_sf_b,precision_p_sf_b,recall_p_sf_b,f1_p_sf_b,samples_p_sf_s,precision_p_sf_s,recall_p_sf_s,f1_p_sf_s,samples_a_c_b,precision_a_c_b,recall_a_c_b,f1_a_c_b,samples_a_pu_b,precision_a_pu_b,recall_a_pu_b,f1_a_pu_b,samples_b_m_b,precision_b_m_b,recall_b_m_b,f1_b_m_b,samples_i_sg_b,precision_i_sg_b,recall_i_sg_b,f1_i_sg_b,samples_m_gp_s,precision_m_gp_s,recall_m_gp_s,f1_m_gp_s,samples_n_3_s,precision_n_3_s,recall_n_3_s,f1_n_3_s,samples_o_sq_s,precision_o_sq_s,recall_o_sq_s,f1_o_sq_s
a_c_b_n_3_s,SVM,48,,,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,,,,,,,,,,,,,,,,,,,24.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,,,,,,,,,,,,,,,,,24.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,,,,
a_c_b_o_sq_s,SVM,48,,,0.6458333333333334,0.6460869565217391,0.6458333333333333,0.6456795484151108,0.6460869565217391,0.6458333333333334,0.6456795484151107,,,,,,,,,,,,,,,,,,,24.0,0.6521739130434783,0.625,0.6382978723404256,,,,,,,,,,,,,,,,,,,,,24.0,0.64,0.6666666666666666,0.6530612244897959
a_pu_b_b_m_b,RandomForest,48,,,0.9375,0.9382608695652175,0.9375,0.9374728614850196,0.9382608695652174,0.9375,0.9374728614850195,,,,,,,,,,,,,,,,,,,,,,,24.0,0.9565217391304348,0.9166666666666666,0.9361702127659575,24.0,0.92,0.9583333333333334,0.9387755102040817,,,,,,,,,,,,,,,,
a_pu_b_i_sg_b,RandomForest,48,,,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,,,,,,,,,,,,,,,,,,,,,,,24.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,,,,,24.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,,,,,,,,,,,,
a_pu_b_m_gp_s,RandomForest,48,,,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,,,,,,,,,,,,,,,,,,,,,,,24.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,,,,,,,,,24.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,,,,,,,,
a_pu_b_n_3_s,RandomForest,48,,,0.875,0.8776223776223776,0.875,0.8747826086956522,0.8776223776223775,0.875,0.8747826086956522,,,,,,,,,,,,,,,,,,,,,,,24.0,0.8461538461538461,0.9166666666666666,0.88,,,,,,,,,,,,,24.0,0.9090909090909091,0.8333333333333334,0.8695652173913043,,,,
a_pu_b_o_sq_s,SVM,48,,,0.6041666666666666,0.6088929219600725,0.6041666666666667,0.5998244844229925,0.6088929219600726,0.6041666666666666,0.5998244844229925,,,,,,,,,,,,,,,,,,,,,,,24.0,0.631578947368421,0.5,0.5581395348837209,,,,,,,,,,,,,,,,,24.0,0.5862068965517241,0.7083333333333334,0.6415094339622641
b_m_b_i_sg_b,RandomForest,48,,,0.7083333333333334,0.7097902097902098,0.7083333333333333,0.7078260869565217,0.7097902097902097,0.7083333333333334,0.7078260869565218,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.7272727272727273,0.6666666666666666,0.6956521739130435,24.0,0.6923076923076923,0.75,0.72,,,,,,,,,,,,
b_m_b_m_gp_s,SVM,48,,,0.6041666666666666,0.6058201058201058,0.6041666666666666,0.6026143790849673,0.6058201058201058,0.6041666666666666,0.6026143790849673,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.5925925925925926,0.6666666666666666,0.6274509803921569,,,,,24.0,0.6190476190476191,0.5416666666666666,0.5777777777777777,,,,,,,,
b_m_b_n_3_s,RandomForest,48,,,0.875,0.8776223776223776,0.875,0.8747826086956522,0.8776223776223775,0.875,0.8747826086956522,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.9090909090909091,0.8333333333333334,0.8695652173913043,,,,,,,,,24.0,0.8461538461538461,0.9166666666666666,0.88,,,,
b_m_b_o_sq_s,SVM,48,,,0.9375,0.9382608695652175,0.9375,0.9374728614850196,0.9382608695652174,0.9375,0.9374728614850195,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.92,0.9583333333333334,0.9387755102040817,,,,,,,,,,,,,24.0,0.9565217391304348,0.9166666666666666,0.9361702127659575
i_sg_b_m_gp_s,SVM,48,,,0.75,0.7517482517482517,0.75,0.7495652173913043,0.7517482517482517,0.75,0.7495652173913044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.7307692307692307,0.7916666666666666,0.76,24.0,0.7727272727272727,0.7083333333333334,0.7391304347826086,,,,,,,,
i_sg_b_n_3_s,RandomForest,48,,,0.7083333333333334,0.7097902097902098,0.7083333333333333,0.7078260869565217,0.7097902097902097,0.7083333333333334,0.7078260869565218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.7272727272727273,0.6666666666666666,0.6956521739130435,,,,,24.0,0.6923076923076923,0.75,0.72,,,,
i_sg_b_o_sq_s,SVM,48,,,0.8958333333333334,0.8965217391304348,0.8958333333333333,0.8957881024750325,0.8965217391304346,0.8958333333333334,0.8957881024750325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.88,0.9166666666666666,0.8979591836734694,,,,,,,,,24.0,0.9130434782608695,0.875,0.8936170212765957
m_gp_s_n_3_s,SVM,48,,,0.6458333333333334,0.6460869565217391,0.6458333333333333,0.6456795484151108,0.6460869565217391,0.6458333333333334,0.6456795484151107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.6521739130434783,0.625,0.6382978723404256,24.0,0.64,0.6666666666666666,0.6530612244897959,,,,
m_gp_s_o_sq_s,SVM,48,,,0.75,0.7517482517482517,0.75,0.7495652173913043,0.7517482517482517,0.75,0.7495652173913044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.7307692307692307,0.7916666666666666,0.76,,,,,24.0,0.7727272727272727,0.7083333333333334,0.7391304347826086
n_3_s_o_sq_s,RandomForest,48,,,0.6666666666666666,0.6678321678321678,0.6666666666666667,0.6660869565217391,0.6678321678321678,0.6666666666666666,0.6660869565217391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.6538461538461539,0.7083333333333334,0.68,24.0,0.6818181818181818,0.625,0.6521739130434783
