Timestamp,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
26800.3447009,27710.06,16199.4,13532.54,15085.08,16712.05,39828.16,25853.54,51962.91
26800.348700900002,27683.6,16140.18,13523.25,15090.32,16655.97,39844.9,25859.07,51981.07
26800.352700900003,27658.23,16073.61,13554.38,15109.68,16616.49,39845.9,25871.23,51991.18
26800.356700900003,27674.34,16097.74,13583.47,15118.93,16652.01,39832.45,25871.18,51975.07
26800.3607009,27710.25,16184.09,13566.64,15104.44,16710.09,39823.58,25854.5,51956.8
26800.3647009,27709.15,16200.21,13527.06,15085.46,16700.99,39834.69,25841.05,51963.29
26800.368700900002,27680.54,16141.23,13520.39,15091.8,16649.68,39852.05,25846.63,51986.13
26800.372700900003,27661.04,16080.33,13556.39,15113.78,16616.39,39858.78,25864.6,52002.01
26800.3766009,27679.59,16105.37,13588.86,15124.04,16650.34,39846.09,25863.27,51984.46
26800.3806009,27715.73,16193.44,13574.13,15108.73,16709.28,39834.65,25845.34,51961.48
26800.3846009,27714.4,16210.22,13536.84,15090.32,16698.17,39841.94,25839.38,51968.15
26800.388600899998,27680.02,16143.51,13527.25,15091.42,16636.95,39855.53,25850.16,51994.38
26800.3926009,27650.5,16073.9,13555.58,15106.73,16595.65,39853.24,25864.75,52004.96
26800.3966009,27666.86,16097.88,13581.8,15114.98,16630.03,39840.04,25866.94,51986.56
26800.4006009,27708.34,16185.38,13560.63,15102.91,16689.49,39829.93,25852.25,51963.38
26800.404600899998,27709.63,16202.64,13520.72,15088.89,16687.78,39837.41,25848.01,51971.44
26800.4086009,27674.96,16141.18,13511.8,15087.51,16633.7,39851.86,25854.16,51987.84
26800.4126009,27655.03,16080.76,13551.28,15109.25,16604.04,39855.15,25869.8,52002.34
26800.4166009,27670.86,16106.94,13585.76,15118.12,16643.86,39839.99,25874.9,51982.46
26800.4206009,27703.62,16190.01,13564.54,15098.86,16704.85,39825.87,25857.12,51953.7
26800.424600899998,27697.23,16205.55,13524.68,15078.21,16702.08,39834.03,25846.87,51959.47
26800.4286009,27670.29,16149.62,13519.96,15083.84,16651.01,39851.43,25857.26,51986.08
26800.4326009,27647.12,16083.72,13555.58,15102.44,16615.06,39855.77,25875.86,51998.19
26800.4366009,27662.66,16106.8,13589.81,15108.63,16656.21,39841.51,25880.67,51980.98
26800.4406009,27699.09,16193.82,13570.21,15091.37,16714.96,39830.98,25862.98,51958.57
26800.444600900002,27697.61,16212.27,13527.97,15075.16,16707.57,39837.79,25851.11,51966.15
26800.448600900003,27674.34,16152.29,13521.15,15085.41,16656.4,39857.25,25856.78,51995.0
26800.4526009,27649.79,16081.95,13552.72,15104.63,16614.73,39857.87,25869.9,52002.25
26800.4566009,27667.38,16106.7,13583.33,15114.5,16650.11,39844.23,25870.37,51983.08
26800.4606009,27705.63,16191.68,13563.59,15103.25,16711.62,39837.79,25851.87,51963.05
26800.464600900003,27704.43,16210.84,13525.73,15090.85,16706.42,39849.1,25842.15,51970.3
26800.4686009,27677.11,16149.71,13517.62,15098.29,16651.35,39864.93,25847.72,51995.05
26800.4726009,27655.27,16082.91,13550.95,15119.03,16613.39,39868.74,25864.89,52008.97
26800.4766009,27672.58,16105.65,13583.04,15127.76,16645.62,39851.67,25868.32,51991.9
26800.480600900002,27711.63,16193.44,13567.59,15112.59,16705.71,39839.94,25852.21,51971.25
26800.484600900003,27713.73,16216.18,13531.97,15098.38,16700.6,39849.0,25849.35,51981.5
26800.4886009,27685.74,16155.53,13527.3,15104.49,16646.1,39866.74,25859.45,52002.96
26800.4926009,27656.94,16084.24,13557.48,15117.03,16603.42,39863.92,25874.09,52009.92
26800.4966009,27672.96,16106.75,13588.95,15123.46,16639.85,39847.76,25878.24,51991.37
26800.500600900003,27710.11,16192.39,13570.83,15108.01,16704.23,39835.51,25866.51,51965.0
26800.5045009,27714.3,16214.66,13530.92,15100.0,16705.47,39847.9,25859.55,51970.54
26800.5085009,27687.7,16155.29,13524.2,15107.16,16657.02,39865.4,25864.65,51990.56
26800.5125009,27656.7,16089.01,13559.06,15122.99,16622.74,39865.16,25887.83,52003.2
26800.516500899997,27669.39,16106.8,13589.43,15126.66,16654.97,39845.23,25884.77,51983.93
26800.5205009,27707.01,16191.15,13573.22,15112.12,16716.77,39832.36,25863.6,51959.85
26800.5245009,27710.49,16211.03,13533.74,15097.72,16714.48,39848.05,25850.73,51967.05
26800.5285009,27687.74,16151.48,13527.82,15105.49,16663.55,39866.21,25858.69,51998.57
26800.532500899997,27663.04,16082.43,13557.29,15121.13,16622.12,39868.84,25874.71,52012.5
26800.536500899998,27674.87,16102.46,13589.57,15126.23,16656.88,39851.91,25877.57,51995.9
26800.5405009,27705.63,16187.1,13572.84,15108.54,16717.1,39839.22,25862.03,51976.26
26800.5445009,27706.2,16206.31,13533.5,15091.33,16709.52,39849.43,25850.11,51982.12
26800.5485009,27679.16,16146.42,13524.1,15094.95,16654.87,39864.45,25858.21,52004.06
26800.552500899998,27657.27,16082.48,13559.25,15112.93,16619.21,39865.55,25873.47,52011.07
26800.5565009,27680.5,16108.9,13592.86,15123.66,16655.73,39849.24,25874.9,51992.61
26800.5605009,27716.59,16192.63,13573.7,15106.87,16713.53,39835.36,25854.88,51964.43
26800.5645009,27717.88,16211.42,13536.93,15094.95,16710.52,39846.62,25847.72,51974.92
26800.5685009,27695.28,16154.53,13532.59,15106.54,16660.26,39866.98,25860.93,52004.58
